Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,C1779
"C103, C105, C13, C14, C15, C16, C19, C20, C21, C5, C8",0402,11,100nF,C1525
"C104, C106",0402,2,1uF,C52923
"C17, C18",0402,2,15pF,C1548
"C2, C3, C6, C7",0402,4,4.7uF,
C4,0805,1,22uF,C45783
CR1,SOD-323_L1.8-W1.3-LS2.5-RD,1,PTVSHC3D7VU,C20615807
"D10, D11, D12",D_SOD-523,3,D_TVS,C20617921
D3,0603,1,LED RED,C2286
FB1,0603,1,FerriteBead,C14709
"J101, J102, J103",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3,JST_SH,C160404
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J4,TF-015_corrected,1,Micro_SD_Card,C113206
L1,L_pol_2016,1,3.3uH,C42411119
L2,1008,1,1uH,C2041556
R1,0402,1,0Ω,
"R101, R19, R233",0402,3,22Ω,
"R102, R11, R12, R6",0402,4,33Ω,
R103,0402,1,100kΩ,
"R104, R105",0402,2,200kΩ,
R106,0402,1,51kΩ,
"R18, R7",0402,2,1kΩ,
"R2, R3",0402,2,5.1kΩ,C25905
"R236, R237",0402,2,2.2kΩ,
R8,0402,1,10kΩ,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2354_60QFN,C41378174
U102,QFN_24RGTR_TEX,1,THVD1424RGTR,C5359161
U4,DQA0010A,1,TPD4E05U06DQAR,C138714
U5,SOT-563_DRL0006A,1,TPS62A0569ADRLR,C53151500
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
